ticker,fy,fye_month,mktcap_b,net_cash_b,revenue_b,gross_margin,op_margin,fcf_margin,rev_growth,price_fye
BYND,2024,Dec,,-1.0096,0.3265,0.1277,-0.4782,-0.3364,-0.0493,
BYND,2025,Dec,,-0.2119,0.2755,0.0278,-1.2110,-0.5707,-0.1561,
CRM,2008,Jan,,0.2791,0.7487,0.7708,0.0271,0.2147,,
CRM,2009,Jan,,0.6976,1.0768,0.7952,0.0592,0.1565,0.4382,
CRM,2010,Jan,,0.7918,1.3056,0.8024,0.0883,0.1662,0.2125,
CRM,2011,Jan,,0.0244,1.6571,0.8046,0.0588,0.2222,0.2693,
CRM,2012,Jan,,0.2817,2.2665,0.7843,-0.0155,0.1941,0.3677,
CRM,2013,Jan,,0.8676,3.0502,0.7759,-0.0363,0.1840,0.3458,
CRM,2014,Jan,,0.5538,4.0710,0.7621,-0.0703,0.1416,0.3347,
CRM,2015,Jan,,-0.0753,5.3736,0.7601,-0.0271,0.1644,0.3200,
CRM,2016,Jan,,0.2463,6.6672,0.7518,0.0172,0.1992,0.2407,
CRM,2017,Jan,,-0.4018,8.4370,0.7299,0.0076,0.2013,0.2654,
CRM,2018,Jan,,0.8167,10.5400,0.7312,0.0224,0.2091,0.2493,
CRM,2019,Jan,,-0.5290,13.2820,0.7402,0.0403,0.2110,0.2602,
CRM,2020,Jan,,1.4510,17.0980,0.7523,0.0174,0.2157,0.2873,
CRM,2021,Jan,,3.5050,21.2520,0.7441,0.0214,0.1925,0.2430,
CRM,2022,Jan,,-5.1320,26.4920,0.7348,0.0207,0.1994,0.2466,
CRM,2023,Jan,,-3.5850,31.3520,0.7334,0.0329,0.2014,0.1835,
CRM,2024,Jan,,-0.9540,34.8570,0.7550,0.1438,0.2725,0.1118,
CRM,2025,Jan,,0.4150,37.8950,0.7719,0.1901,0.3281,0.0872,
CRM,2026,Jan,,-7.1120,41.5250,0.7768,0.2006,0.3468,0.0958,
CRWD,2018,Jan,,0.0632,0.1188,0.5412,-1.1068,-0.6878,,
CRWD,2019,Jan,,0.1917,0.2498,0.6508,-0.5478,-0.2354,1.1037,
CRWD,2020,Jan,,0.9121,0.4814,0.7058,-0.3034,0.0410,0.9270,
CRWD,2021,Jan,,1.1806,0.8744,0.7375,-0.1058,0.3474,0.8164,
CRWD,2022,Jan,,1.2571,1.4516,0.7360,-0.0982,0.3187,0.6600,
CRWD,2023,Jan,,1.9644,2.2412,0.7317,-0.0848,0.3150,0.5440,
CRWD,2024,Jan,,2.7322,3.0556,0.7527,-0.0007,0.3239,0.3633,
CRWD,2025,Jan,,3.5793,3.9536,0.7492,-0.0305,0.2850,0.2939,
CRWD,2026,Jan,,4.4847,4.8120,0.7467,-0.0610,0.2723,0.2171,
DASH,2018,Dec,,0.2150,0.2910,0.2165,-0.7216,-0.5911,,
DASH,2019,Dec,,0.2570,0.8850,0.4090,-0.6960,-0.6158,2.0412,
DASH,2020,Dec,,3.9810,2.8860,0.5260,-0.1511,0.0506,2.2610,
DASH,2021,Dec,,2.5040,4.8880,0.5217,-0.0925,0.1152,0.6937,
DASH,2022,Dec,,1.9770,6.5830,0.4550,-0.1707,0.0290,0.3468,
DASH,2023,Dec,,2.6560,8.6350,0.4686,-0.0671,0.1795,0.3117,
DASH,2024,Dec,,4.0190,10.7220,0.4831,-0.0035,0.1891,0.2417,
DASH,2025,Dec,,1.6540,13.7170,0.5088,0.0527,0.1585,0.2793,
DDOG,2017,Dec,,0.0600,0.1008,0.7676,-0.0293,0.1139,,
DDOG,2018,Dec,,0.0536,0.1981,0.7651,-0.0557,0.0059,0.9658,
DDOG,2019,Dec,,0.5973,0.3628,0.7548,-0.0555,0.0301,0.8315,
DDOG,2020,Dec,,-0.3509,0.6035,0.7843,-0.0228,0.1718,0.6634,
DDOG,2021,Dec,,-0.4645,1.0288,0.7723,-0.0186,0.2689,0.7048,
DDOG,2022,Dec,,-0.3999,1.6751,0.7930,-0.0350,0.2287,0.6282,
DDOG,2023,Dec,,-0.4119,2.1284,0.8074,-0.0157,0.2971,0.2706,
DDOG,2024,Dec,,-0.3663,2.6843,0.8079,0.0202,0.3114,0.2612,
DDOG,2025,Dec,,-0.5821,3.4272,0.7996,-0.0129,0.2919,0.2768,
GOOGL,2013,Dec,,18.8980,55.5190,0.6039,0.2774,0.2036,,
GOOGL,2014,Dec,,59.3940,66.0010,0.6107,0.2499,0.1730,0.1888,
GOOGL,2015,Dec,,67.8460,74.9890,0.6244,0.2582,0.2148,0.1362,
GOOGL,2016,Dec,,82.3330,90.2720,0.6108,0.2627,0.2861,0.2038,
GOOGL,2017,Dec,,97.8450,110.8550,0.5888,0.2359,0.2157,0.2280,
