ticker,fy,fye_month,mktcap_b,net_cash_b,revenue_b,gross_margin,op_margin,fcf_margin,rev_growth,price_fye
AMZN,2014,Dec,144.1216,7.5350,88.9880,0.2948,0.0020,0.0219,0.1952,15.5175
AMZN,2015,Dec,318.2374,11.2460,107.0060,0.3304,0.0209,0.0685,0.2025,33.7945
AMZN,2016,Dec,357.8159,17.1430,135.9870,0.3509,0.0308,0.0714,0.2708,37.4935
AMZN,2017,Dec,566.1488,6.0440,177.8660,0.3707,0.0231,0.0364,0.3080,58.4735
AMZN,2018,Dec,737.7720,16.2850,232.8870,0.4025,0.0533,0.0743,0.3093,75.0985
AMZN,2019,Dec,919.8740,30.2010,280.5220,0.4099,0.0518,0.0772,0.2045,92.3920
AMZN,2020,Dec,1640.0751,51.2220,386.0640,0.3957,0.0593,0.0671,0.3762,162.8465
AMZN,2021,Dec,1696.6602,45.4960,469.8220,0.4203,0.0530,-0.0313,0.2170,166.7170
AMZN,2022,Dec,860.7698,-0.5160,513.9830,0.4381,0.0238,-0.0329,0.0940,84.0000
AMZN,2023,Dec,1578.2587,19.5980,574.7850,0.4698,0.0641,0.0561,0.1183,151.9400
AMZN,2024,Dec,2325.0358,43.2020,637.9590,0.4885,0.1075,0.0515,0.1099,219.3900
AMZN,2025,Dec,2477.8345,54.1930,716.9240,0.5029,0.1116,0.0107,0.1238,230.8200
BYND,2017,Dec,,0.0390,0.0326,-0.0672,-0.8767,-1.0184,,
BYND,2018,Dec,,0.0239,0.0879,0.1999,-0.3183,-0.6817,1.6989,
BYND,2019,Dec,4.6755,0.2454,0.2979,0.3349,-0.0016,-0.2376,2.3877,75.6000
BYND,2020,Dec,7.8675,0.1341,0.4068,0.3006,-0.1213,-0.2402,0.3655,125.0000
BYND,2021,Dec,4.1348,-0.3964,0.4647,0.2524,-0.3764,-0.9411,0.1424,65.1600
BYND,2022,Dec,0.7890,-0.8237,0.4189,-0.0567,-0.8182,-0.9327,-0.0985,12.3100
BYND,2023,Dec,0.5756,-0.9470,0.3434,-0.2407,-0.9957,-0.3448,-0.1804,8.9000
BYND,2024,Dec,0.2863,-1.0096,0.3265,0.1277,-0.4782,-0.3364,-0.0493,3.7600
BYND,2025,Dec,0.3801,-0.2119,0.2755,0.0278,-1.2110,-0.5707,-0.1561,0.8200
